c0_corrected,c0_error,phi,v_obs,v_bar,radius_kpc,g_obs,g_N
49.781615771038666,17.701895252155694,0.3837234671130251,78.5,53.48360496451226,5.7,3.503229070732567e-11,1.626187308842424e-11
44.836515137424996,14.966285577474917,0.42693064615208554,79.8,52.07020261147444,6.16,3.349879219937548e-11,1.4262705052562473e-11
36.43084660467652,10.880988497182337,0.5224712934353464,83.4,49.460630808755354,7.16,3.147916161290673e-11,1.1071599257052029e-11
34.24745159131603,9.954353294098345,0.5526865074716933,84.6,48.679001633147735,7.52,3.0840894361633185e-11,1.0211030253305938e-11
31.849175341075217,8.99395932105468,0.5892069492099559,86.1,47.76544462265583,7.98,3.010284135484531e-11,9.264646142251288e-12
34.31435462363071,23.670102980786176,0.4634833893469124,67.4,42.40056249626885,3.22,4.5715976378998726e-11,1.809220261408968e-11
39.377196208306465,27.255227445089083,0.42545308670149207,69.8,45.61245992050856,3.77,4.1876808243268565e-11,1.7882561099927627e-11
44.72398652314414,31.753131727942446,0.38754607332189944,71.3,48.3927618554676,4.31,3.822133638481099e-11,1.7607091678157326e-11
48.64929945325242,34.61961001744111,0.36751573027700724,73.2,50.68751818741967,4.85,3.580012160004276e-11,1.7165813684681734e-11
50.858348935682656,35.622729474722014,0.361111407825326,75.1,52.3372916762035,5.38,3.397047946476111e-11,1.649849361669321e-11
50.94972157806193,33.405540353307586,0.37566896371586145,78.5,53.916128384742166,5.92,3.3730415039148025e-11,1.5911816770594316e-11
51.52963033759988,32.1863574358966,0.3843395898475049,81.4,55.42527311615162,6.46,3.3236889257186654e-11,1.5409453760014764e-11
52.993511526694306,32.30780126505597,0.38345287904364056,83.5,56.90559990018557,6.99,3.232212113036214e-11,1.5011943272353713e-11
53.098286142115406,30.453046107997313,0.39759573586173635,87.1,58.525417555110195,7.53,3.264716033253032e-11,1.4740022411972333e-11
52.57285461712946,28.319938233260217,0.41563183165662526,90.7,59.8550332052368,8.07,3.303277944685235e-11,1.4385729693439052e-11
53.39926978235959,27.90007901892786,0.41943461095093915,93.1,61.20565415057664,8.62,3.258338308023813e-11,1.4082504552405672e-11
53.8891785781964,27.105208613632648,0.4268852937085636,95.9,62.578432386885495,9.14,3.260581776101856e-11,1.3883764612118537e-11
54.291524820916386,26.420819397674,0.4335798542432041,98.4,63.78135777795892,9.69,3.237952683546387e-11,1.360403754229461e-11
53.91322546115025,25.240640901426527,0.44578531177654607,101.0,64.67244390001045,10.23,3.231254699906049e-11,1.3248508542029746e-11
53.47069870083242,24.30043319000391,0.45616597305613654,103.0,65.27199093026043,10.76,3.1949661139045024e-11,1.2830557476262868e-11
53.14882270709935,23.790864043798372,0.4620580906544689,104.0,65.51851722986412,11.3,3.101646602699029e-11,1.230987818237086e-11
51.89483779367884,22.751795534132587,0.474705431227572,105.0,65.3171684934367,11.84,3.01738671594472e-11,1.1676349216601563e-11
50.83879774703987,22.14295468188249,0.48254281707502517,105.0,64.80725345206352,12.38,2.88577210959495e-11,1.099336547250232e-11
48.96301735690617,21.084785636275285,0.49699494104023423,105.0,63.8773864524841,12.91,2.7673012174117335e-11,1.0241701484879867e-11
45.8043520978393,19.140069794727026,0.5267358165019191,106.0,62.596118889273,13.48,2.701008286681885e-11,9.419091147731403e-12
42.13748566842802,16.89356956895082,0.5675289044544468,108.0,61.22786048850637,14.01,2.697823006712639e-11,8.670898668343093e-12
40.413531801622376,16.25448824809964,0.5807037884329774,107.0,59.86697670669532,14.54,2.5515684713588722e-11,7.987563527346734e-12
248.75735397163362,129.48099644918597,0.16446802998133186,183.0,155.24711269456833,13.57,7.996987369206308e-11,5.755344100415931e-11
205.30970695748982,102.27260424008578,0.1945400424221658,172.0,141.59267283302478,16.64,5.761129667480931e-11,3.904202329689914e-11
200.7613760278067,110.49549821337882,0.18407189238771396,161.0,133.93203537615636,19.71,4.261565874328772e-11,2.949078899387851e-11
191.92818643728816,107.87360724020253,0.18725547430659142,156.0,129.36017045443313,22.68,3.477044306597126e-11,2.3909042629797645e-11
155.83408130168203,73.91278267296185,0.24620090940112485,159.0,124.3006580835355,25.75,3.181420634371323e-11,1.944346670525832e-11
113.82492922587261,42.827417468045844,0.37097082863917674,173.0,119.3810843475632,28.72,3.3768506165863627e-11,1.6080171684686166e-11
104.27452648748276,37.65607503113586,0.4097909997121545,177.0,117.49064728734795,31.79,3.1934497228143946e-11,1.4070843841745807e-11
99.74931820515619,35.40711624740773,0.42993509232223254,179.0,116.4486861239748,34.77,2.986107577412236e-11,1.263771546787136e-11
92.67892795430386,32.36108848129083,0.46132880987344776,181.0,114.11060774529247,37.84,2.8054988840004435e-11,1.1150773321239341e-11
87.45928347962702,30.334381672406312,0.48542614993861877,182.0,112.0091469479167,40.81,2.6301484377518565e-11,9.961952414354617e-12
